adm0,date,stat,cases_asymptomatic_active,cumulative_deaths,daily_cases,daily_cases_reported,daily_deaths,cumulative_cases,cumulative_cases_reported,ICU,VENT,CASE_REPORT,Reff,doubling_t,N,cases_active,hospitalizations,cases_per_100k
SDN,2020-09-05,mean,2910.6996099999956,827.319999999985,-1167.4862309999987,-36.65692299999997,0.0,428839.2626969996,13400.33996799999,46.46049000000003,34.254465999999944,0.033677756566560794,1.007630554491255,745.27671397675,43783090.90963297,8276.031597000007,176.9412140000002,18.9023466024395
SDN,2020-09-06,mean,2919.147938000005,830.5118829999985,1527.2607469999991,49.14228600000003,3.1914370000000014,430366.5234469999,13449.482846000008,48.922043999999936,35.30639300000002,0.03367775656671775,1.0076305544913382,745.2767139782048,43783090.90917697,7808.893982999991,185.74204100000026,17.835410476612196
SDN,2020-09-07,mean,2982.2876780000033,833.4839579999999,1611.9898059999998,52.007239,2.9723139999999986,431978.5144699999,13501.491872000002,52.11622800000005,36.928082000000025,0.03367775656673712,1.007630554490742,745.276713981029,43783090.90801104,7574.958558999991,197.43775800000014,17.301105065686425
SDN,2020-09-08,mean,3040.9560250000036,836.4092570000003,1573.0370779999982,50.608314000000036,2.925037999999998,433551.55291700026,13552.100845000014,55.57629800000002,38.82155900000002,0.033677756567490384,1.0076305544907123,745.276714002719,43783090.924790986,7363.546291000008,210.236939,16.818242237965432
SDN,2020-09-09,mean,3112.1900879999994,839.4851949999997,1550.5621170000002,49.85808600000004,3.0758879999999937,435102.11618800025,13601.959563000028,59.071073,40.85163299999991,0.03367775657216748,1.0076305544851514,745.2767142019467,43783091.04359996,7206.636135999999,223.2010160000001,16.459861476713705
SDN,2020-09-10,mean,3183.4185750000006,843.1818880000009,1509.8894650000007,48.59857600000006,3.6965920000000025,436612.0068449997,13650.559315000006,62.34176399999999,42.86482500000001,0.03367775660729717,1.0076305544463326,745.276715797027,43783091.971186966,7089.690808999994,235.4220689999998,16.192759555824928
SDN,2020-09-11,mean,3246.5987339999992,851.1555159999999,1455.3812339999981,46.774352999999984,7.973388999999997,438067.38927100017,13697.334833999987,65.718602,45.24544400000003,0.03367775692233304,1.0076305540917856,745.2767302346672,43783100.32772599,6995.744748999999,249.09379899999982,15.978184954092638
SDN,2020-09-12,mean,3305.3868380000026,896.1973310000005,1407.8596899999993,45.207461000000045,45.041571000000026,439475.2504890002,13742.54394099999,74.06769299999995,52.87073500000001,0.033677759768592934,1.0076305508840966,745.2768609911146,43783175.957949966,6925.493182999992,291.04534000000064,15.817704018665394
SDN,2020-09-13,mean,3361.843168999999,1182.3425930000005,1369.7096589999974,43.96041900000005,286.1449720000002,440844.96121299994,13786.506136000015,122.79947999999999,101.12101400000003,0.03367778171010023,1.007630528714837,745.2777086634793,43783717.94448096,6879.998814,556.4633479999999,15.71360116727419
SDN,2020-09-14,mean,3410.6472740000054,1729.3318989999996,1330.8001659999986,42.71897299999995,546.9890390000005,442175.7627579999,13829.226715999994,216.80549199999996,194.86489900000015,0.033677831257304065,1.0076304911367742,745.2789002554698,43784772.91461602,6848.718404999995,1072.2690669999995,15.64178126116029
SDN,2020-09-15,mean,3455.447246000002,2425.838105,1300.5784020000012,41.70870599999999,696.5060880000007,443476.34250500065,13870.93717399996,345.2783449999996,323.24968099999967,0.033677898915449006,1.0076304441922517,745.2802332560295,43786169.53291899,6831.816623000005,1778.7812399999998,15.60268161357152
SDN,2020-09-16,mean,3496.772381000004,3081.474403999999,1274.204201999999,40.80362800000004,655.6360219999996,444750.54805500014,13911.742534999996,463.92532999999986,441.9453459999999,0.033677961630362185,1.0076303996536653,745.281544518576,43787472.99553095,6825.088813000005,2431.791795999999,15.5868524627959
SDN,2020-09-17,mean,3535.933325,3737.4728059999984,1260.1387180000027,40.350603,655.998468,446010.68785799993,13952.094912000004,582.4058340000005,560.5633880000007,0.033678024380594064,1.007630355138378,745.2828519437151,43788777.16530601,6832.216261999985,3084.3572589999994,15.602665121722495
SDN,2020-09-18,mean,3573.9038590000005,4396.926794999998,1250.075764999999,40.00616099999998,659.453724,447260.7650009998,13992.10301200001,701.2568029999999,679.6095040000001,0.03367808746813658,1.0076303108197142,745.2841249999526,43790087.72672099,6850.444121,3739.312412999998,15.643823697616885
SDN,2020-09-19,mean,3611.9577479999984,5068.332496999996,1242.0801319999973,39.70121599999999,671.4056110000004,448502.8462160002,14031.80614199999,822.4625620000002,801.0448859999993,0.033678151909809474,1.0076302672931727,745.2852679680301,43791423.83622493,6878.550685000009,4407.492071999998,15.707529197326458
SDN,2020-09-20,mean,3648.855306999999,5759.010498999997,1234.7806990000024,39.40166399999998,690.6780570000006,449737.6284679999,14071.209418999993,946.3758150000002,925.2015319999996,0.033678218189761626,1.0076302222286186,745.2864643815941,43792794.60026801,6914.2783009999985,5090.793448999995,15.78862085444002
SDN,2020-09-21,mean,3690.595687000001,6505.063813999996,1240.9797360000007,39.646169000000015,746.0535380000002,450978.60896700004,14110.857141999993,1079.7784499999993,1058.8312050000009,0.03367829017226203,1.0076301733159216,745.2877768206407,43794272.87578196,6966.909758999995,5826.366894,15.908266769860369
SDN,2020-09-22,mean,3728.189145000003,7272.963151000002,1231.6451829999978,39.29554899999996,767.8994769999988,452210.255535,14150.154425999988,1217.7361019999996,1197.016843,0.03367836466334785,1.0076301229279483,745.2891949341879,43795798.36595193,7017.337346000004,6587.156363999998,16.022855177485418
SDN,2020-09-23,mean,3766.2930700000043,8048.090562000004,1237.2739360000014,39.36736700000002,775.1277140000001,453447.53074399976,14189.523537000008,1357.4382549999975,1336.9228709999998,0.03367844004850268,1.0076300706008816,745.2908076945938,43797340.524542004,7077.449634000005,7357.536615999999,16.159541993272697
SDN,2020-09-24,mean,3805.8505810000042,8831.82551099999,1237.6819750000006,39.45780299999996,783.7348,454685.21387300023,14228.983390999982,1498.5846719999995,1478.2554260000018,0.03367851632144258,1.007630017689862,745.2924334866777,43798899.10352001,7140.575207999992,8135.817362000003,16.30309289537855
SDN,2020-09-25,mean,3843.6243949999985,9638.032903999996,1240.129037,39.45579700000002,806.2077600000005,455925.34406200005,14268.440885,1643.5507199999997,1623.3850540000003,0.03367859492602713,1.0076299632821646,745.2940994085021,43800501.13417291,7207.63097599999,8935.151461000005,16.455590208707992
SDN,2020-09-26,mean,3886.2206850000007,10488.86453500001,1250.7648720000002,39.73136099999998,850.8316110000003,457176.1103379999,14308.174145999994,1796.793930000002,1776.7623490000005,0.03367867833268556,1.00762990827914,745.2955829988686,43802192.975380994,7285.1620959999955,9779.930834,16.631957445816965
SDN,2020-09-27,mean,3925.8820130000063,11377.527841999987,1250.1904829999992,39.75413400000003,888.6632660000007,458426.3022230003,14347.930275000002,1956.5370810000027,1936.620376000001,0.03367876570213756,1.0076298537806114,745.296828798192,43803958.29683306,7360.0559660000035,10660.481194999991,16.802262289004418
SDN,2020-09-28,mean,3967.6578650000047,12299.313441999995,1261.11488,40.05826900000007,921.7855229999999,459687.41851800017,14387.990565000002,2122.6173390000017,2102.784852999997,0.03367885675489574,1.0076297999482793,745.2978908711976,43805791.247603014,7442.047415000008,11575.790874000008,16.98872957900795
SDN,2020-09-29,mean,4007.830238999998,13225.257360999993,1262.045170000001,40.06415299999998,925.9441400000001,460949.4648300002,14428.056519999993,2289.968849999999,2270.202843000002,0.03367894854518915,1.0076297458288885,745.2989481274186,43807635.209364,7520.400142999995,12498.01873899999,17.166870813863266
SDN,2020-09-30,mean,4051.732563000003,14161.618352,1278.5072959999986,40.60543699999998,936.3607129999996,462227.9736199993,14468.664219999991,2459.2979680000008,2439.570583999999,0.03367904166410364,1.0076296911702693,745.3000074157767,43809499.952422924,7609.659911999997,13430.929560999999,17.3698853451057
SDN,2020-10-01,mean,4092.3996419999935,15104.789887,1277.0342150000004,40.543937,943.1714660000007,463505.0092199999,14509.210195000027,2629.5677119999973,2609.8654069999984,0.0336791357455014,1.007629636496986,745.3010442067598,43811376.53491394,7692.046463999994,14368.891022000009,17.557189644269876
SDN,2020-10-02,mean,4138.653989999998,16063.08016300001,1294.6182049999995,41.107740000000014,958.2899170000003,464799.628989001,14550.319938999994,2802.645370000001,2782.937794,0.033679231925075416,1.0076295813211014,745.3020793895901,43813283.12280199,7785.090167999999,15322.029858,17.768789766746245
SDN,2020-10-03,mean,4179.0697779999955,17033.048106000006,1291.7942559999997,41.02893500000002,969.9676569999998,466091.42462299956,14591.351249999994,2977.6183309999965,2957.8971889999975,0.03367933000199837,1.0076295254930527,745.3031334622907,43815211.650807984,7868.221568,16285.409710999995,17.957739496289538
SDN,2020-10-04,mean,4222.764232000004,18023.989740999998,1305.0889560000012,41.44670499999998,990.9411370000001,467396.51498299994,14632.799823000001,3156.0097239999964,3136.2503249999927,0.033679431275720664,1.007629468764992,745.3041212545262,43817179.369794056,7955.916891000006,17267.221980000013,18.157072192749407
