adm1,R_eff,daily_reported_cases_per_100k_tomorow,daily_cases_total_per_100k_tomorow,daily_reported_cases_per_100k_inTWOweeks,daily_cases_total_per_100k_inTWOweeks,daily_reported_cases_per_100k_abs_change,daily_cases_total_per_100k_abs_change,ADM1_PCODE,ADM1_EN
IQG01,1.020698891576782,2.5617780655676614,24.935913133662257,2.6620200763321304,25.65585466946988,0.10024201076446904,0.7199415358076209,IQG01,Al-Anbar
IQG02,0.9787843477273892,1.8606027402556797,17.51892051065348,1.771631814178236,16.616064235647798,-0.08897092607744383,-0.9028562750056821,IQG02,Al-Basrah
IQG03,0.9953881477845272,1.075046277800977,9.741020876258583,1.0570993502258976,9.602152391441487,-0.01794692757507943,-0.13886848481709535,IQG03,Al-Muthanna
IQG04,1.022195323435486,2.5180275623878736,24.73613212373538,2.277819671092,22.25200239452504,-0.24020789129587383,-2.4841297292103413,IQG04,Al-Najaf
IQG05,0.9930272429440506,1.5951097183177054,13.589025184958189,1.582929339480018,13.507116077167002,-0.012180378837687522,-0.0819091077911871,IQG05,Al-Qadissiya
IQG06,1.0150399932847625,4.271170381396151,122.66918971649284,2.741296365249783,78.33786117989216,-1.5298740161463678,-44.33132853660068,IQG06,Al-Sulaymaniyah
IQG07,0.9673776571700828,5.4063095697360115,50.28718717787529,4.984921184641424,46.662629862934054,-0.42138838509458765,-3.624557314941235,IQG07,Babil
IQG08,0.6660896499785581,9.142441304724393,33.24845808371352,19.94398746033166,71.85926965378447,10.801546155607266,38.61081157007094,IQG08,Baghdad
IQG09,0.993454725295178,5.0402097212737695,62.23733880165591,4.390400175344464,53.845576598012556,-0.6498095459293056,-8.391762203643353,IQG09,Duhok
IQG10,0.9879627526084536,7.887985869046691,71.2412305436172,7.255648325064073,66.36331095006341,-0.6323375439826178,-4.8779195935537984,IQG10,Diyala
IQG11,1.003578265262582,4.000989199595503,39.91998874003689,3.6481441158946115,36.31149792285169,-0.35284508370089185,-3.6084908171851993,IQG11,Erbil
IQG12,0.942638787303372,0.996154321386981,14.181734135391967,1.047458971542953,14.892981675354672,0.051304650155971965,0.7112475399627058,IQG12,Kerbala
IQG13,1.0099703901649606,17.647774207548657,219.85055540828776,13.065916222993177,165.15880188339634,-4.58185798455548,-54.691753524891425,IQG13,Kirkuk
IQG14,0.995378115078752,1.4755464481076992,16.680380385089265,1.2952183172299343,14.720912497335986,-0.1803281308777649,-1.959467887753279,IQG14,Maysan
IQG15,0.931518904644006,4.807439766471662,55.874817977999456,5.187105313785358,60.24860495007532,0.3796655473136967,4.373786972075862,IQG15,Ninewa
IQG16,1.0337147347140303,6.480875343831545,59.31022071021355,5.87383410491687,54.163101163595265,-0.6070412389146744,-5.147119546618285,IQG16,Salah Al-Din
IQG17,1.0038124022009831,1.0416346663691898,13.808804686865784,0.9234984173803849,12.170763063498843,-0.11813624898880493,-1.6380416233669415,IQG17,Thi Qar
IQG18,1.0282143865911852,4.394442836143728,28.455367123790975,3.69170109563362,24.028003716065196,-0.7027417405101084,-4.427363407725778,IQG18,Wassit
