adm0,date,quantile,R_eff,active_asymptomatic_cases,case_reporting_rate,cumulative_cases,cumulative_deaths,cumulative_deaths_per_100k,cumulative_reported_cases,cumulative_reported_cases_per_100k,current_hospitalizations,current_hospitalizations_per_100k,current_icu_usage,current_vent_usage,daily_cases,daily_deaths,daily_hospitalizations,daily_reported_cases,doubling_t,total_population
COD,2020-11-04,0.2,1.0516610857878497,94.04413982532093,0.4575066169494173,26609.246501177968,314.8866819086376,0.3518882173114945,11261.130891054743,12.58439782256144,22.225011547690244,0.024836616289517232,7.152895673568063,5.319596488564272,32.619043637314874,0.8926148074569841,0.7799553461630451,14.392956048752437,150.08300932718902,89484860.93522626
COD,2020-11-04,0.25,1.0519254175517438,104.19624179004083,0.4621748622644057,27063.045263540018,315.4515758596611,0.3525194905180677,11270.513280160088,12.594882712415753,22.925225190208543,0.02561911026134689,7.394195947766371,5.5332945898915264,34.068016063208795,0.9130177855544692,0.8095642903362951,14.909283849813642,150.41200966410682,89484860.93522626
COD,2020-11-04,0.3,1.0521571645529872,113.1618656463158,0.4654615383758409,27408.7257556141,315.8818417802376,0.35300031589576825,11277.681469504543,12.602893217510733,23.62874203032473,0.026405295581146883,7.610564341659483,5.71625169445972,35.093547174519614,0.9335285940986784,0.8364777649152042,15.360117593240462,150.77951889553947,89484860.93522626
COD,2020-11-04,0.35,1.0524006996117037,121.50725959877386,0.4690090051397205,27739.178996843657,316.27073273202683,0.35343490443703074,11284.53159749971,12.610548286673913,24.26594156327191,0.027117370815200617,7.813533660451594,5.885910948109796,36.188672357704036,0.9506558797236015,0.8564702080704459,15.886181491859574,151.04531363067258,89484860.93522626
COD,2020-11-04,0.4,1.0525914167717405,129.32735916252676,0.4718770824222268,28141.727991641128,316.8376441760775,0.3540684322071203,11293.0197852281,12.620033899815267,24.85073303431459,0.02777087964890824,8.079374884179177,6.073961153818574,37.18367913076603,0.9706816877544809,0.8784623408843186,16.38396067469458,151.3556882626926,89484860.93522626
COD,2020-11-04,0.45,1.0527663102507578,136.59614876224566,0.4749825685945479,28502.588927586323,317.21337833570664,0.3544883179349431,11299.80384300939,12.627615135021296,25.50212266703712,0.028498812425374238,8.308840046132737,6.25743428976384,37.932803672101,0.9851779863083168,0.9006082202764036,16.746460107730776,151.63446506771697,89484860.93522626
COD,2020-11-04,0.5,1.0529505809652364,143.88494075199532,0.4788095765240284,28827.764598606187,317.68707308324133,0.3550176753509172,11306.115538446147,12.634668501781654,26.217462063620342,0.02929820954026837,8.547961588256598,6.422929049843923,38.91527404800271,1.0055965171880348,0.9301204295433008,17.158811769103078,151.91484598837445,89484860.93522626
COD,2020-11-04,0.55,1.0531451677505488,152.57672439297988,0.48197772341241,29115.753745761263,318.1576306391577,0.35554352693184216,11314.074814983467,12.643563052719248,26.761510840014463,0.029906188108607363,8.724872442364301,6.577608145499347,39.95221281125926,1.0240570741076578,0.9554804677783924,17.605479395676984,152.24224799717211,89484860.93522626
COD,2020-11-04,0.6,1.0533676098961615,161.20678049371398,0.4858177780904672,29574.60394951897,318.58781833146463,0.35602426488886746,11320.306289782628,12.650526772318337,27.226551280044852,0.030425874271350583,8.928607727781268,6.741084355916143,40.92775380382821,1.0414041093846844,0.9874698040342996,17.968448642186814,152.49962383667625,89484860.93522626
COD,2020-11-04,0.65,1.0535501804986076,168.4173397829969,0.489032841026443,30057.32810173666,318.95011822661405,0.3564291377258624,11326.933838436002,12.65793310740575,28.047934083510388,0.0313437756849317,9.103305574521832,6.945509500484544,41.79660634717165,1.054471857460028,1.01700152316549,18.462064186700086,152.8739200601758,89484860.93522626
COD,2020-11-04,0.7,1.0538087600210841,177.84342325278308,0.4929027284616743,30572.51744084058,319.47355118547483,0.3570140779642337,11335.008706810457,12.66695683308411,28.740337169463395,0.032117541301502524,9.345142936629424,7.117170196280671,43.091237245890724,1.0700773692471697,1.043674089839264,19.027210577722787,153.19107263850842,89484860.93522626
COD,2020-11-04,0.75,1.0539889453275313,186.26834719292324,0.4969964640074686,31123.457354985727,320.0697526908544,0.357680337596476,11343.476641650152,12.676419813471176,29.367273028518227,0.03281814680337467,9.608398066545258,7.36666812849047,44.3748356137753,1.090368444172153,1.0734310207432929,19.528425292336358,153.49096583388715,89484860.93522626
COD,2020-11-04,0.8,1.0542570107728788,197.88651811710338,0.5023496257711374,31510.35956099669,320.77107301185214,0.35846406828976657,11355.754341753809,12.69014023497638,30.205674169359554,0.033755066335996176,9.921817324543346,7.640805671419693,46.21788832518645,1.1171762444426736,1.1058636424537929,20.142696856563507,153.9759293661118,89484860.93522626
COD,2020-11-04,0.85,1.0546088264499498,211.17224600595054,0.5076187679862879,32203.283115060025,321.27822040759634,0.3590308092898015,11363.326155239807,12.698601793062144,31.263947595620838,0.034937694788676366,10.336402978119407,7.9399802693929935,48.25605716145718,1.140958817351585,1.1432536006967309,20.911511940117798,154.39409116785518,89484860.93522626
COD,2020-11-04,0.9,1.054993110799118,229.59681171004138,0.5131064416061681,33108.39213485446,321.99640081000837,0.3598333812499144,11375.157520038358,12.71182343153249,32.65840164791657,0.03649600760016423,10.764799473707292,8.342933555359183,50.2899734196907,1.1765620926458054,1.1920270413222318,21.643440105517683,155.0087816689979,89484860.93522626
COD,2020-11-04,0.95,1.0555585787976762,262.02407594572475,0.5189501287635613,34424.903624814826,323.42345510952487,0.36142812508099603,11397.371830405484,12.736648089172856,35.06576697818717,0.03918625632504427,11.734372687751858,9.052951213701176,53.79550087218618,1.2365264996258782,1.2963510159279854,23.355765748237303,155.70953061331414,89484860.93522626
COD,2020-11-04,0.975,1.0561629410265292,289.1907377260024,0.5265914113609886,36163.02337129216,324.3809847129291,0.3624981715596928,11416.508032294405,12.758032937614171,36.95612130166393,0.04129874139092049,12.444207118355115,9.53603179675456,58.881494463765506,1.2980691050943332,1.3808476723869447,24.322092324499568,156.40643376238438,89484860.93522626
COD,2020-11-04,0.99,1.0568019667870778,329.06684770738383,0.5374370980600008,37541.18689169667,325.6598805741336,0.36392734723012304,11438.02756934289,12.782081180885243,40.129936003815644,0.044845503009569125,13.459206407824786,10.487699007854085,62.674567333203036,1.3633218657641446,1.4454056916883593,26.530831757962783,157.18121041766128,89484860.93522626
COD,2020-11-05,0.01,1.0495808066611916,42.195962044553866,0.4195287474390868,23326.381598343418,310.80840243455003,0.34733070955938466,11191.973043463817,12.507113411692224,15.971362175985876,0.017848116440105734,5.035029554017249,3.659453608684122,22.24005651822188,0.7009454290072545,0.5409552628404586,10.079031343739778,147.25226727500373,89484860.93522626
COD,2020-11-05,0.025,1.0500272412630884,50.93680153492062,0.42647605947463824,24070.486447245494,311.61954686521784,0.3482371695149464,11207.694455033214,12.524682206463856,17.38984396765813,0.0194332804296872,5.4541185144519915,4.100303338379849,24.405665742658073,0.7389712260242836,0.5757383390601606,10.867624291236622,147.7373027306407,89484860.93522626
COD,2020-11-05,0.05,1.0504755580438594,58.96334474688209,0.4343724194667608,24515.246366788866,312.9749128276573,0.3497518010942707,11220.711342406992,12.539228675260633,18.499469025664613,0.020673294714125424,5.843464011465071,4.372531488890685,26.186791017660926,0.7814005746761072,0.6256434506127996,11.641331493159411,148.3418957788251,89484860.93522626
