adm0,date,stat,cases_asymptomatic_active,cumulative_deaths,daily_cases,daily_cases_reported,daily_deaths,cumulative_cases,cumulative_cases_reported,ICU,VENT,CASE_REPORT,Reff,doubling_t,N,cases_active,hospitalizations,cases_per_100k
SSD,2020-07-07,mean,132.1791760000001,40.04400000000095,-53.59225100000005,-5.954701999999982,0.0,18769.841766,2092.045297999999,2.4561649999999986,1.824323000000001,0.11982299999974047,1.1036820449680285,70.85238430642681,11158593.431500025,375.04666899999995,9.28076,3.36105685095817
SSD,2020-07-08,mean,133.87790399999994,40.20851800000002,36.59910699999998,4.074435000000003,0.1643150000000001,18806.44091700002,2096.1197349999975,2.375751999999999,1.7659,0.11982299999981905,1.1036820449675318,70.85238430630004,11158593.429350004,361.23117499999967,8.957728999999997,3.2372464978414546
SSD,2020-07-09,mean,137.16866699999997,40.357021,39.42598500000001,4.407273999999998,0.14845299999999984,18845.867106999987,2100.5278320000016,2.337517000000001,1.7379799999999976,0.11982300000086665,1.103682044971877,70.85238430651297,11158593.427337019,351.0528830000004,8.804183000000018,3.1460316686507204
SSD,2020-07-10,mean,141.660369,40.49471000000002,41.957914999999964,4.7172819999999955,0.13760799999999995,18887.825594999973,2105.2457350000013,2.3376249999999996,1.7384890000000006,0.11982299999947309,1.103682044967303,70.8523843066654,11158593.426521026,344.3741499999993,8.802603999999995,3.0861788474299368
SSD,2020-07-11,mean,145.66852500000005,40.6252,41.66353699999996,4.682458000000002,0.13038,18929.48947099999,2109.9284369999987,2.3594049999999984,1.7549420000000002,0.11982300000080374,1.1036820449719005,70.85238430659531,11158593.42617101,338.49437999999947,8.889875999999989,3.0334860951749123
SSD,2020-07-12,mean,149.446959,40.75141899999995,41.929705999999996,4.696955999999994,0.12606900000000004,18971.41966000001,2114.625567000003,2.399017999999998,1.7843619999999996,0.11982300000005809,1.1036820449687894,70.85238430704271,11158593.425342001,333.900632,9.045779000000007,2.9923182902397594
SSD,2020-07-13,mean,153.6599060000002,40.875725,43.791635,4.923847000000003,0.123944,19015.211965999988,2119.5499100000015,2.4569579999999998,1.8275199999999983,0.11982300000114507,1.1036820449703406,70.85238430682004,11158593.424118018,331.7946190000005,9.272036,2.9734448275789362
SSD,2020-07-14,mean,157.47841200000008,41.00012499999996,44.194128000000035,4.983560000000001,0.1234430000000001,19059.40679999999,2124.5343150000003,2.520351999999998,1.8748019999999985,0.11982300000050529,1.1036820449686562,70.85238430654024,11158593.423406025,330.55953600000026,9.520077999999996,2.9623763807598342
SSD,2020-07-15,mean,160.79107199999996,41.12563999999997,44.09300599999996,4.964154999999986,0.12410600000000004,19103.50054,2129.4993260000015,2.584260999999997,1.9224980000000005,0.11982299999855901,1.1036820449672877,70.85238430625044,11158593.423306001,329.6801409999997,9.769584000000004,2.9544955039891043
SSD,2020-07-16,mean,164.26081099999982,41.25258200000004,45.26374600000003,5.0973090000000045,0.125497,19148.765131999975,2134.597890999999,2.6540350000000004,1.9743260000000011,0.11982299999932185,1.1036820449677907,70.8523843063222,11158593.423814015,330.1974069999998,10.039458999999985,2.9591310881110866
SSD,2020-07-17,mean,167.75983800000014,41.38123500000002,46.2893400000001,5.217533000000004,0.1274010000000001,19195.055573999987,2139.8164890000016,2.7264809999999917,2.0283509999999993,0.11982299999932,1.103682044969934,70.85238430644617,11158593.424178008,331.83940800000005,10.318445999999994,2.97384621327795
SSD,2020-07-18,mean,170.93126600000008,41.512069999999994,46.417767999999974,5.234327999999999,0.12973499999999985,19241.474267000016,2145.0515929999992,2.795674999999999,2.0797499999999984,0.1198229999996775,1.1036820449692097,70.85238430625616,11158593.424372016,333.70129600000024,10.585740000000003,2.9905319004736506
SSD,2020-07-19,mean,174.2693619999999,41.645355999999964,47.464201,5.350259000000001,0.1323830000000001,19288.939604999974,2150.402916000001,2.8667519999999995,2.1324510000000005,0.11982299999972858,1.1036820449649045,70.85238430639919,11158593.424275009,336.5115810000004,10.85745400000001,3.0157168399731713
SSD,2020-07-20,mean,178.097997,41.781457999999986,49.23896900000001,5.558973000000003,0.135028,19338.179355000004,2155.962759000002,2.9430499999999986,2.188672999999999,0.11982299999952646,1.1036820449723372,70.85238430638776,11158593.424575005,340.7691009999995,11.146072999999982,3.0538714695842444
SSD,2020-07-21,mean,182.22677299999984,41.92017199999996,50.63264299999994,5.718141000000001,0.13777499999999993,19388.813188999986,2161.6817680000013,3.0208579999999996,2.2451509999999963,0.11982299999875642,1.1036820449683986,70.85238430641175,11158593.424766015,346.0060209999999,11.440006000000004,3.1008031911267104
