adm0,date,quantile,R_eff,active_asymptomatic_cases,case_reporting_rate,cumulative_cases,cumulative_deaths,cumulative_deaths_per_100k,cumulative_reported_cases,cumulative_reported_cases_per_100k,current_hospitalizations,current_hospitalizations_per_100k,current_icu_usage,current_vent_usage,daily_cases,daily_deaths,daily_hospitalizations,daily_reported_cases,doubling_t,total_population
SDN,2021-02-14,0.01,1.07129548076228,992.0972572606934,0.019287197334420397,1041928.7440827292,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,127.14108089540295,0.2903885455707429,40.70436037313297,31.721359806635288,1025.8111212614817,2.8820121951219826,0.0,27.400000000002407,287.851670850024,43783090.90860111
SDN,2021-02-14,0.025,1.0715641694381741,1349.1513610550433,0.01978940001697783,1059284.703390562,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,151.15213098895182,0.3452294661071046,49.84882410344776,40.24404155758327,1043.6796296166237,2.8820121951219826,0.0,27.400000000002407,289.22894590586486,43783090.90860111
SDN,2021-02-14,0.05,1.0716994153006651,1670.6884682824,0.020267949074704018,1071078.5113445234,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,215.8715371348694,0.4930477329376074,68.20818546903465,52.993167059035905,1055.5259142121242,2.8820121951219826,0.0,27.400000000002407,290.63475794854384,43783090.90860111
SDN,2021-02-14,0.1,1.0720394199666414,2185.7061266652922,0.020866449183449823,1097634.1677413257,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,288.12161943510864,0.6580659644075234,91.6390985995787,68.03810693596445,1081.8510900571034,2.8820121951219826,0.0,27.400000000002407,292.0037931401165,43783090.90860111
SDN,2021-02-14,0.15,1.0722282190754866,2516.9945369207603,0.0213189968345974,1115365.1649282041,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,343.9032164453608,0.7854703934979649,110.96394157084421,82.22058254340132,1099.1016131936658,2.8820121951219826,0.0,27.400000000002407,292.9553251388185,43783090.90860111
SDN,2021-02-14,0.2,1.0724266573676893,2847.8399290356947,0.021682344584386015,1128266.9710798557,2925.137195121953,6.680974628374889,27810.00000000001,63.51767182918734,393.3762156884189,0.8984660688063503,125.0124542589468,93.36741774805378,1112.2400673476857,2.8820121951219826,0.0,27.400000000002407,293.8001618432611,43783090.90860111
SDN,2021-02-14,0.25,1.072547122942907,3239.7897752951612,0.02196342435240181,1140945.925108164,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,422.22760350204527,0.9643622566151432,137.43512878146828,103.10600072300787,1123.4982170841276,2.8820121951219826,0.0,27.400000000002407,294.34956323742335,43783090.90860111
SDN,2021-02-14,0.3,1.072665772480525,3615.898096313369,0.02219264779282505,1152290.7792495345,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,455.3030294057045,1.0399060915004084,147.62541981642812,112.92861699741992,1135.2393649532985,2.8820121951219826,0.0,27.400000000002407,294.98817319624663,43783090.90860111
SDN,2021-02-14,0.35,1.0727896514328472,3875.400200193676,0.02247309600100996,1165221.3508964565,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,490.57699181164884,1.120471354650925,159.36701238925536,121.87233998987006,1147.9942217516366,2.8820121951219826,0.0,27.400000000002407,295.53443214636866,43783090.90860111
SDN,2021-02-14,0.4,1.0728760110282598,4239.573016913207,0.022680228120252426,1174918.1959715744,2925.137195121953,6.680974628374889,27810.00000000001,63.517671829187314,538.105269045939,1.2290253106370552,175.82794820510247,130.73433655787187,1157.6022766216845,2.8820121951219826,0.0,27.400000000002407,295.94432979812456,43783090.90860111
