adm1,date,stat,cases_asymptomatic_active,cumulative_deaths,daily_cases,daily_cases_reported,daily_deaths,cumulative_cases,cumulative_cases_reported,ICU,VENT,CASE_REPORT,Reff,doubling_t,N,cases_active,hospitalizations,cases_per_100k
11.0,2020-07-08,mean,34.55502199999997,4.436999999999925,-15.070025000000028,-0.8934099999999997,0.0,2067.7989550000007,123.19573300000008,1.3105559999999996,0.9707789999999997,0.06400399999775282,1.0956953976908193,36.173047703534095,636205.6619339985,95.39164999999994,5.014200000000002,14.993838582011252
11.0,2020-07-09,mean,35.13565,4.479677,9.593811000000002,0.5688480000000002,0.04204000000000008,2077.392826000001,123.76457000000002,1.2711480000000002,0.9421610000000004,0.06400399999958095,1.0956953977271555,36.17304770493278,636205.6626799974,92.20257900000003,4.851363999999994,14.492574399856709
11.0,2020-07-10,mean,34.640850999999984,4.517597999999995,7.620375000000002,0.44940199999999964,0.037913,2085.0131950000005,124.21401600000006,1.219568,0.9044359999999991,0.06400399999958772,1.0956953977739785,36.173047704140416,636205.6625959972,87.23666200000001,4.645298,13.712022248283095
11.0,2020-07-11,mean,33.759858999999935,4.552474,6.883226000000008,0.4078779999999996,0.034895999999999996,2091.8964190000033,124.62193300000003,1.1752629999999988,0.8719149999999991,0.06400400000025087,1.095695397774121,36.17304770311834,636205.6626179975,81.91308700000013,4.470197,12.875252738701876
11.0,2020-07-12,mean,32.47631399999999,4.5852840000000015,6.029854000000001,0.36017600000000005,0.032815,2097.9262450000024,124.98209700000017,1.1330589999999996,0.8408019999999999,0.06400400000151964,1.0956953976787072,36.17304770589526,636205.6625859966,76.26107599999997,4.305337000000003,11.98685904335089
11.0,2020-07-13,mean,30.86072200000002,4.616602000000003,5.212034999999998,0.3080590000000003,0.03128999999999997,2103.138286,125.29010500000014,1.089394000000001,0.8085130000000005,0.06400399999991158,1.0956953977623995,36.17304770266078,636205.6625909976,70.45374500000008,4.137099999999995,11.074051858179265
11.0,2020-07-14,mean,29.156199,4.646698000000001,4.772059000000006,0.2826410000000001,0.030083999999999955,2107.910338999998,125.57274900000003,1.0470029999999995,0.7770559999999991,0.06400400000122398,1.0956953977571857,36.17304770456592,636205.6626069976,64.92264300000006,3.9747670000000004,10.204662865458435
11.0,2020-07-15,mean,27.538621999999993,4.675774999999997,4.610927,0.2731170000000002,0.02902499999999994,2112.521300999999,125.8459010000002,1.0081319999999996,0.7482589999999995,0.06400400000097349,1.0956953977528072,36.17304770401298,636205.6626839978,59.946849999999955,3.825707999999999,9.422558382630342
11.0,2020-07-16,mean,25.938787000000005,4.703798000000003,4.314694999999996,0.254714,0.02804499999999996,2116.836026999999,126.10054599999991,0.9694970000000012,0.7196399999999996,0.0640040000013998,1.0956953977437658,36.17304770521587,636205.6626479967,55.36218800000004,3.6782890000000026,8.701932606128207
11.0,2020-07-17,mean,24.373074000000017,4.730906,4.0742549999999955,0.24021200000000026,0.02710999999999995,2120.9102459999995,126.34078999999996,0.9316219999999998,0.6916189999999995,0.06400400000230372,1.095695397760272,36.17304770325045,636205.6626369964,51.179089000000005,3.5330059999999976,8.04442525517123
11.0,2020-07-18,mean,22.909710000000032,4.757041999999996,4.004436000000002,0.23399300000000028,0.026171999999999942,2124.914695999997,126.5747889999999,0.8965390000000004,0.6657510000000003,0.06400399999916026,1.0956953977327366,36.17304770306627,636205.6625919972,47.51686999999998,3.398199000000003,7.468790800510818
11.0,2020-07-19,mean,21.540091000000015,4.782214999999993,3.938829000000004,0.228203,0.025132999999999933,2128.853549,126.80298999999998,0.8644470000000003,0.6420390000000007,0.06400399999939409,1.095695397709308,36.17304770447267,636205.6626589973,44.32946400000007,3.272936000000002,6.967788342959219
11.0,2020-07-20,mean,20.313157000000004,4.806436999999996,3.9783670000000018,0.23045100000000027,0.024205999999999967,2132.831885000004,127.03344999999986,0.8362470000000007,0.6214039999999998,0.0640039999999519,1.0956953977434916,36.17304770401267,636205.6626549986,41.67090900000009,3.1624729999999994,6.549911678890128
11.0,2020-07-21,mean,19.222150999999993,4.829707999999994,4.13614899999999,0.23586699999999994,0.023249999999999913,2136.968022000001,127.26936300000008,0.8137480000000005,0.6050850000000004,0.06400400000157275,1.095695397723048,36.17304770316409,636205.6626219979,39.581558999999935,3.0707959999999996,6.221503725206128
11.0,2020-07-22,mean,18.31765399999998,4.852136999999998,4.493576999999995,0.25474399999999997,0.022383999999999907,2141.4615620000004,127.52410200000001,0.7990779999999996,0.5947270000000004,0.06400399999702866,1.095695397712671,36.17304770427833,636205.6626159969,38.182294999999954,3.006730000000003,6.0015647837837856
11.0,2020-07-23,mean,17.57396199999999,4.873796000000004,4.866146,0.273085,0.021633999999999938,2146.3277790000016,127.79718200000009,0.7917750000000002,0.5899229999999996,0.06400399999833911,1.0956953977462474,36.173047704054426,636205.6627039969,37.40408299999997,2.968904000000002,5.879243960361088
11.0,2020-07-24,mean,17.043296000000044,4.894700000000003,5.528498999999984,0.30687499999999984,0.020896999999999947,2151.8562660000002,128.10405000000014,0.7948250000000011,0.592722999999999,0.06400400000092174,1.0956953977034556,36.17304770361355,636205.6626959974,37.40078299999996,2.966145999999998,5.878725260242055
11.0,2020-07-25,mean,16.740609999999986,4.915078999999997,6.337111000000013,0.35029100000000013,0.020359999999999927,2158.193358999999,128.45435400000005,0.8081719999999999,0.6030660000000004,0.06400399999900694,1.0956953977430226,36.17304770324886,636205.6627359964,38.225715,2.9998299999999998,6.00838961973565
11.0,2020-07-26,mean,16.643436,4.935028999999999,7.160084999999999,0.3927299999999992,0.01994299999999995,2165.353448,128.847091,0.8291930000000014,0.6187089999999993,0.06400400000065314,1.095695397775985,36.173047703880485,636205.6626459978,39.79159299999999,3.0626409999999975,6.254517263255029
11.0,2020-07-27,mean,16.741696000000008,4.954723999999996,8.077993000000008,0.4417990000000007,0.01974299999999998,2173.4314600000016,129.28888700000005,0.8568960000000003,0.6385029999999996,0.06400400000040184,1.0956953977071797,36.173047705061116,636205.6625939979,42.063759000000005,3.1487810000000005,6.611660579771275
11.0,2020-07-28,mean,17.039595000000006,4.974442000000001,9.037187000000001,0.4923589999999994,0.019691999999999973,2182.4686379999985,129.78123100000002,0.887978,0.6595530000000009,0.06400399999964251,1.0956953978065616,36.17304770384378,636205.6626529964,44.95095699999996,3.250801999999994,7.065475779098405
11.0,2020-07-29,mean,17.45129499999998,4.994102000000007,9.781278000000011,0.5319939999999989,0.01978599999999996,2192.249962999999,130.3132470000001,0.9173490000000004,0.6781930000000006,0.06400400000258959,1.0956953977770145,36.17304770464279,636205.6626749964,48.134041999999944,3.351340999999995,7.565799052717495
11.0,2020-07-30,mean,17.93541700000001,5.013996000000002,10.336181999999994,0.5629449999999997,0.019981999999999986,2202.586138999999,130.87618600000008,0.9413350000000003,0.691332,0.064004000000427,1.0956953977539325,36.17304770416938,636205.6626159983,51.357252000000024,3.4372569999999985,8.072429250130439
