adm0,date,quantile,R_eff,active_asymptomatic_cases,case_reporting_rate,cumulative_cases,cumulative_deaths,cumulative_deaths_per_100k,cumulative_reported_cases,cumulative_reported_cases_per_100k,current_hospitalizations,current_hospitalizations_per_100k,current_icu_usage,current_vent_usage,daily_cases,daily_deaths,daily_hospitalizations,daily_reported_cases,doubling_t,total_population
SSD,2020-12-17,0.75,1.0324497777929265,32.95619957977303,0.2813038409073513,11088.328381685978,63.90673907295215,0.5727132271889943,2821.903845958873,25.28906468833043,4.677508141481158,0.04191843961639834,1.5092559700977777,1.1529753355017471,7.839095474266863,0.20767402677452926,0.11505502593904088,2.106674716592859,123.1532055573243,11158593.173519116
SSD,2020-12-17,0.8,1.0327458837930428,36.06536248476354,0.2845401266888392,11242.015600184226,65.16767619713183,0.5840133714327334,2828.79791893322,25.350847324072614,5.0795220319467465,0.04552116877960167,1.6336398262041485,1.2469536706434814,8.752569702886614,0.2288384603430528,0.12975448993905794,2.3673250625664743,123.53068399592884,11158593.173519116
SSD,2020-12-17,0.85,1.0331822999064892,41.77140047816137,0.28879214438097256,11417.120623968665,67.2552735622732,0.602721799392053,2837.6735006412327,25.430387652947374,5.607599021365126,0.050253638018390466,1.810063231503653,1.3754592980470208,10.130871029361789,0.2554407636017172,0.1463799739999021,2.6879206329631398,124.13341629907057,11158593.173519116
SSD,2020-12-17,0.9,1.0335388368088856,49.48227513959823,0.293890315275926,11648.87778160885,69.36368198771541,0.6216167298967851,2854.7555304148186,25.583471733601233,6.228324883848273,0.05581639895814959,2.0702998934497083,1.5562763652928435,11.831229089955995,0.2881267359295314,0.17289901257775975,3.1286459050176,124.75762092541157,11158593.173519116
SSD,2020-12-17,0.95,1.034297346511461,63.51128994302783,0.3018765293558282,11930.121838709872,72.67412679765381,0.6512839536987473,2879.3644646654247,25.80400969809129,7.635888814909687,0.06843056912434721,2.5498601960400165,1.8961859203933105,14.177567021018488,0.3620864494569349,0.21055560622539088,3.672484647552354,125.61227654197478,11158593.173519116
SSD,2020-12-17,0.975,1.0347915827568586,75.87541786048385,0.3116017728466593,12223.75243753256,75.03738243513864,0.6724627492757127,2901.494673069199,26.00233405726133,8.781279771771974,0.07869522291224995,2.909536830470051,2.234970008914161,15.616900961332496,0.4117983537381901,0.2384979003050974,4.222132694372217,126.29208738678312,11158593.173519116
SSD,2020-12-17,0.99,1.0358454740189569,89.25064481962542,0.3194743378718263,12574.99613659426,76.41335821411299,0.6847938357986958,2916.989804258383,26.141196823814703,10.178790535765415,0.0912192995791001,3.268142553923362,2.5253940413404505,18.770533708153152,0.4596086521958358,0.2818083416175796,5.031254006645298,127.37748134339745,11158593.173519116
SSD,2020-12-18,0.01,1.0265390805525678,-2.4563456363152136,0.222253639999855,8830.179166527521,56.55600579003035,0.5068381373043115,2764.7325278890526,24.77671230500764,1.3915152904091523,0.012470347012125243,0.4349351754281288,0.3169701390950609,-0.07498927653408723,0.018691557574766964,-0.0010322477134625417,-0.019664811482992716,116.36684317802944,11158593.173519116
SSD,2020-12-18,0.025,1.0274036298042868,0.3379574879235905,0.2297964458981533,9006.776053816375,56.882661050264254,0.5097655247908373,2767.3028015464697,24.799746334633497,1.5005459484635633,0.013447447407837812,0.4689346410278815,0.34745960739070075,0.010130204513757462,0.03474127153285484,0.00015347271358662882,0.0025634858331421927,117.00570244655006,11158593.173519116
SSD,2020-12-18,0.05,1.028042300172794,2.019678592682083,0.23447838973000695,9270.97245659989,57.25886818702965,0.5131369814871722,2769.157225651255,24.81636513304247,1.6372886933318893,0.014672895300255246,0.5311647329746891,0.3976459615933434,0.1982602432043776,0.0508178415908767,0.0029430156567686236,0.05251301395048648,117.76651588346806,11158593.173519116
